HER (-5.313524770345186, 'uber')
HER (-5.2323257707753426, 'siemens')
HER (-4.3423054807166004, 'honda')
HER (-4.3059015980498128, 'bmw')
HER (-4.2326285628014944, 'ikea')
HER (-3.8088325550419446, 'kitchen')
HER (-3.5937995045713103, 'galaxy')
HER (-3.5427709388400555, 'uberx')
HER (-3.3764178109214105, 'type_photo')
HER (-3.0604443888561934, 'disneyland')
HER (-2.576123234891778, 'favorite')
HER (-2.5216684542946077, 'halloween')
HER (-2.5168904808246624, 'burberry')
HER (-2.5002488480614407, 'lego')
HER (-2.496491575735166, 'hp')
HER (-2.4867065691617993, 'storage')
HER (-2.2948065087244016, 'disney')
HER (-2.2748688574486251, 'ultrabook')
HER (-2.1655023507121833, 'pictureoftheweek')
HER (-2.1629247434796288, 'review')
HER (-2.1489556059219725, 'create')
HER (-2.1479326136573826, 'tale')
HER (-2.1388774680772622, 'sparkling')
HER (-2.1382816654309242, 'college')
HER (-2.0995946349228563, 'section')
HER (-2.0910758491032584, 'inside')
HER (-2.0762426303458139, 'creativity')
HER (-2.0594151710872066, 'civic')
HER (-1.959562239603871, 'offers')
HER (-1.9465185488794092, 'bedroom')
HER (-1.9203274048881434, 'nfl')
HER (-1.9080191575514589, 'iced')
HER (-1.8929687766020789, 'uberblack')
HER (-1.8850197933365795, 'small')
HER (-1.8826197890476033, 'universe')
HER (-1.8819670567983933, 'magical')
HER (-1.8713225098306743, 'mickey')
HER (-1.8580162133123053, 'online')
HER (-1.8558032906008008, 'reach')
HER (-1.8519820092521426, 'gillette')
HER (-1.8271228251221499, 'space')
HER (-1.8231670679774798, 'fall')
HER (-1.8204895458211532, 'castle')
HER (-1.8074837861392683, 'instagram')
HER (-1.7990151176326712, 'growing')
HER (-1.7925028829691843, 'power')
HER (-1.7886713105122449, 'heart')
HER (-1.7739305308227138, 'nike')
HER (-1.773125514098425, 'breathe')
HER (-1.7648003866356503, 'designed')
HER (-1.7240987053632295, 'proglide')
HER (-1.7195904869614069, 'jobs')
HER (-1.7168212052521155, 'bed')
HER (-1.7167198327339459, 'slick')
HER (-1.7141556970158636, 'sxonfox')
HER (-1.7062792015899437, 'shark')
HER (-1.7008095606581279, 'happy')
HER (-1.6808079117946857, 'cozy')
HER (-1.675823990006897, 'deserves')
HER (-1.6742650924828526, 'thumbs')
HER (-1.6736604985165715, 'prada')
HER (-1.6733432967708675, 'ikeacatalog')
HER (-1.6580091771901682, 'study')
HER (-1.653299477363515, 'topshop')
HER (-1.6524773432928317, 'tablet')
HER (-1.6481846720619151, 'school')
HER (-1.6442032982496961, 'louis')
HER (-1.6302380577525004, 'safe')
HER (-1.627408848168822, 'first59')
HER (-1.6228445536825298, 'ready')
HER (-1.6180783969114219, 'minnie')
HER (-1.6168869357167437, 'miles')
HER (-1.6089158181771839, 'cooler')
HER (-1.6080788812720381, 'wind')
HER (-1.6017831000291325, '2014')
HER (-1.594174042547835, 'manufacturing')
HER (-1.5912999491349877, 'fortune')
HER (-1.5904455587842761, 'develop')
HER (-1.5901683381085432, 'pleasant')
HER (-1.5829026860242492, 'thunder')
HER (-1.5794242040185806, 'welcome')
HER (-1.5721975232607102, 'curve')
HER (-1.5429502268135005, 'mercedes')
HER (-1.532688698468079, 'equipment')
HER (-1.5313348902963262, 'pier')
HER (-1.5248572331273238, 'beast')
HER (-1.5230584898833239, 'macchiato')
HER (-1.5228572361713728, 'ikeanewyear')
HER (-1.5225039292213971, 'ikeahometour')
HER (-1.5167689162758788, 'note')
HER (-1.5154138306165403, 'code')
HER (-1.512560466240209, 'taxi')
HER (-1.5090411284034759, 'smart')
HER (-1.5062205597704803, 'glass')
HER (-1.4995456819232607, 'detroit')
HER (-1.4994792331672959, 'certain_yes')
HER (-1.4950161788363763, 'decide')
HER (-1.4899436559535355, 'organization')
HER (-1.4827537825202024, 'share')
HER (-1.481774712416946, 'vehicle')
LER (6.948983197006525, 'type_status')
LER (5.3468673808324025, 'levi')
LER (4.8349588256761757, 'liveinlevis')
LER (4.3530856747796554, 'nonflu_yes')
LER (3.9555510171276023, 'type_link')
LER (3.6631525088097283, 'pepsi')
LER (3.4262376558399068, 'ibm')
LER (3.3920275214940365, 'pringles')
LER (3.3480550330727783, 'australia')
LER (2.8370957846704803, 'denim')
LER (2.8080682743332082, 'mcdonald')
LER (2.8022862682117977, 'store')
LER (2.7961274835263321, 'flavour')
LER (2.6218425739286872, 'colour')
LER (2.6078826567817619, 'spr')
LER (2.5617884684365166, 'levis')
LER (2.5010158175988924, 'skin')
LER (2.4219122998183256, 'chips')
LER (2.3307942178663965, 'australian')
LER (2.3272078416661852, 'bull')
LER (2.2322820490027828, 'is_authentic_no')
LER (2.1556890519844103, 'writing')
LER (2.1364187907137784, 'chip')
LER (2.1185542731300746, 'got')
LER (2.1065492892027478, 'clue')
LER (2.0724274838578354, 'ausopen')
LER (2.0670067379768362, 'kfc')
LER (2.0253687029965337, 'ground')
LER (2.0085318311260685, 'al')
LER (1.9999420288409089, 'nextchallenge')
LER (1.9909142028072233, 'final')
LER (1.9854580530181731, 'favourite')
LER (1.9669071333192378, 'carpet')
LER (1.9571859086925896, 'windows')
LER (1.945216534588831, '365')
LER (1.9076963135292933, 'snack')
LER (1.851403990232144, 'easy')
LER (1.850098768434798, '30am')
LER (1.8342198986996203, 'balance')
LER (1.8167212395635364, 'zealand')
LER (1.8063050790385458, 'pepsinext')
LER (1.7985760307626895, 'pringlesxtra')
LER (1.7947433117727265, 'colours')
LER (1.7942006669468034, 'max')
LER (1.7707406060844517, 'skate')
LER (1.769883295519294, 'say')
LER (1.7667643548346157, 'rbma')
LER (1.759737786265269, '501ct')
LER (1.7461077517701966, 'foundation')
LER (1.7338834766040216, 'ge')
LER (1.7277601766433666, 'wear')
LER (1.7198212431217159, 'hunger')
LER (1.7167819296126163, 'hmlife')
LER (1.6987403975820214, 'higgs')
LER (1.6981375335719524, 'reward_yes')
LER (1.6841966260417984, 'vivid')
LER (1.6784908855631337, 'legendary')
LER (1.676812712234109, 'blues')
LER (1.6738764616505684, 'look')
LER (1.6689585778640028, 'treat')
LER (1.6473748421433034, 'classic')
LER (1.6292556464095356, 'macc')
LER (1.6244818976459936, 'pack')
LER (1.6165401457024009, 'rbmauae')
LER (1.6124323711778614, 'hit')
LER (1.6115337093774258, 'kris')
LER (1.6048389859557919, 'makeup')
LER (1.6009540411976073, 'pop')
LER (1.5966913518360157, 'station')
LER (1.5959482480513147, 'reveal')
LER (1.5902131790975, 'refresh')
LER (1.5768395389704286, 'challenge')
LER (1.5763381361085391, 'expert')
LER (1.5760671513087283, 'flavours')
LER (1.572675658725081, 'kids')
LER (1.5692257369222793, 'shirt')
LER (1.5610277718592962, 'nation')
LER (1.5496769725768, 'taste')
LER (1.5483098462811595, 'nail')
LER (1.5435440437680228, 'iphone')
LER (1.5365566802721959, 'event')
LER (1.5276510829332723, 'gs')
